comuna, isp, count, avg_rtt, avg_jitter
Cerrillos, 73007, 300, 250945.533333, 80550.4666667
Cerrillos, 73009, 625, 52586.2352, 32375.1264
Colina, 73001, 2305, 152179.747505, 90129.4854664
Colina, 73003, 918, 137568.775599, 60165.5348584
Colina, 73009, 34, 1115593.17647, 883646.058824
Conchalí, 73001, 622, 96913.0546624, 54631.6752412
Conchalí, 73002, 144, 46998.4166667, 15646.5833333
Conchalí, 73003, 240, 112645.75, 32356.625
Conchalí, 73009, 281, 719957.259786, 569189.594306
El Bosque, 73001, 135, 41704.9777778, 19772.9333333
El Bosque, 73008, 168, 93406.0, 65761.5
El Bosque, 73009, 2676, 72579.6733931, 39636.1778774
El Paico, 73009, 77, 84887.9090909, 30304.1818182
Estación Central, 73001, 1831, 62278.1135991, 29401.0562534
Estación Central, 73002, 219, 119098.219178, 75702.0091324
Estación Central, 73009, 2492, 181665.306581, 107262.758427
Huechuraba, 73001, 2453, 257965.662862, 197017.316347
Huechuraba, 73002, 252, 461666.833333, 397906.083333
Huechuraba, 73003, 2025, 87062.6745679, 28188.5358025
Huechuraba, 73009, 47, 83449.787234, 28897.8297872
Independencia, 73001, 230, 61276.673913, 36308.7826087
Independencia, 73002, 10479, 151507.04237, 61279.0273881
Independencia, 73007, 189, 88368.2222222, 25781.1111111
Independencia, 73009, 76, 119751.578947, 64068.0526316
La Cisterna, 73001, 595, 43205.794958, 17799.1428571
La Cisterna, 73002, 126, 173169.833333, 51016.6666667
La Cisterna, 73007, 180, 122307.4, 61845.2
La Cisterna, 73008, 881, 171454.31328, 152551.07832
La Cisterna, 73009, 11, 68780.0, 39612.9090909
La Florida, 73001, 3422, 129434.493863, 82872.663647
La Florida, 73002, 5391, 251856.762382, 176736.488407
La Florida, 73007, 1920, 122128.871875, 39548.0786458
La Florida, 73008, 5463, 149914.81091, 112898.102874
La Florida, 73009, 928, 140983.205819, 94465.075431
La Granja, 73001, 1983, 79719.6066566, 53350.820474
La Granja, 73002, 730, 153573.726027, 111671.39726
La Granja, 73008, 262, 81033.0496183, 48610.3778626
La Granja, 73009, 304, 50646.6875, 21781.75
La Pintana, 73002, 32, 43062.0, 25337.5
La Pintana, 73008, 108, 277638.888889, 237777.777778
La Reina, 73001, 10596, 122468.007173, 59275.5952246
La Reina, 73002, 1399, 88069.4503217, 56574.3952823
La Reina, 73008, 214, 62024.771028, 51770.5607477
La Reina, 73009, 38308, 96270.1212018, 48414.9567453
Las Condes, 73001, 15613, 81833.7662205, 56425.4523794
Las Condes, 73002, 1868, 148465.112955, 143856.149893
Las Condes, 73007, 484, 118149.545455, 35838.5599174
Las Condes, 73008, 711, 87081.5752461, 92310.1265823
Las Condes, 73009, 11062, 106597.143826, 61691.6690472
Lo Barnechea, 73001, 16819, 125495.547238, 56266.2979963
Lo Barnechea, 73002, 4000, 132751.399, 68855.06525
Lo Espejo, 73001, 852, 62193.9800469, 45011.3333333
Lo Espejo, 73002, 96, 92896.625, 27075.875
Lo Espejo, 73007, 855, 334380.642105, 177326.821053
Lo Espejo, 73008, 68, 75356.25, 41137.5
Lo Prado, 73001, 84, 62796.0, 30278.8333333
Lo Prado, 73002, 424, 114087.504717, 51169.7995283
Lo Prado, 73003, 91, 68219.3736264, 25459.2087912
Lo Prado, 73007, 137, 82842.270073, 24661.8759124
Macul, 73001, 430, 200187.439535, 174616.025581
Macul, 73002, 380, 268337.728947, 233753.044737
Macul, 73007, 828, 141205.740338, 60976.6050725
Macul, 73008, 2001, 75266.9565217, 40093.830085
Macul, 73009, 2060, 42616.3228155, 18453.7072816
Maipú, 73001, 169, 72568.7337278, 35373.8757396
Maipú, 73002, 12547, 361756.136766, 207086.930103
Maipú, 73003, 5396, 804428.851001, 488785.596738
Maipú, 73007, 2579, 158272.340442, 71015.6091508
Maipú, 73009, 2188, 140080.726234, 71434.8080439
Melipilla, 73002, 438, 148506.835616, 77764.0684932
Melipilla, 73009, 2235, 189066.072036, 103426.655481
Ñuñoa, 73001, 12482, 85523.3488223, 43266.4407146
Ñuñoa, 73002, 5674, 65216.971625, 29742.4504759
Ñuñoa, 73007, 230, 160540.108696, 89957.6956522
Ñuñoa, 73008, 1322, 60833.2246596, 41024.677761
Ñuñoa, 73009, 22064, 121993.627221, 80374.3955765
Padre Hurtado, 73001, 26, 318687.038462, 226341.346154
Padre Hurtado, 73002, 255, 86822.6862745, 36225.0941176
Padre Hurtado, 73003, 30, 2436655.6, 3045678.2
Padre Hurtado, 73009, 389, 126215.534704, 73197.3496144
Paine, 73002, 406, 74275.7438424, 35871.6034483
Pedro Aguirre Cerda, 73001, 1457, 72853.6492793, 43349.4070007
Pedro Aguirre Cerda, 73009, 1763, 236429.387408, 266851.836075
Peñalolén, 73001, 2516, 171219.809221, 94385.7591415
Peñalolén, 73002, 15222, 272808.509526, 159243.109053
Peñalolén, 73007, 835, 200899.0, 106958.560479
Peñalolén, 73008, 6, 82681.3333333, 30821.3333333
Peñalolén, 73009, 3617, 106595.032347, 77835.9784352
Pirque, 73001, 135, 70283.6666667, 35895.6
Providencia, 73001, 11854, 108255.106968, 53930.6983297
Providencia, 73002, 10988, 109605.52075, 57963.0455952
Providencia, 73007, 24, 87349.75, 55927.375
Providencia, 73008, 172, 94742.3837209, 63973.0232558
Providencia, 73009, 6257, 84069.9600447, 51261.1909861
Pudahuel, 73001, 1442, 94264.462552, 47545.7413315
Pudahuel, 73002, 581, 200572.965577, 128339.561102
Pudahuel, 73003, 119, 137774.865546, 68496.0756303
Pudahuel, 73007, 210, 60648.6809524, 32028.0047619
Pudahuel, 73008, 294, 66509.7823129, 45278.8027211
Pudahuel, 73009, 546, 382279.423077, 294792.802198
Puente Alto, 73001, 4789, 153518.870537, 85522.668198
Puente Alto, 73002, 68, 47750.8088235, 25669.7941176
Puente Alto, 73007, 1844, 201014.153471, 127405.046638
Puente Alto, 73008, 638, 144398.510972, 67464.7335423
Puente Alto, 73009, 950, 48165.6505263, 23965.0989474
Quilicura, 73001, 3353, 138904.220996, 80965.0095437
Quilicura, 73002, 210, 79129.5, 25061.1
Quilicura, 73003, 51, 101756.235294, 33116.9215686
Quilicura, 73007, 378, 271002.055556, 175670.444444
Quilicura, 73009, 2097, 117773.035289, 41826.4935622
Quinta Normal, 73001, 1687, 649410.611737, 603096.369295
Quinta Normal, 73002, 171, 128393.421053, 51739.5497076
Quinta Normal, 73009, 26, 181156.961538, 127766.653846
Recoleta, 73001, 2318, 448707.446506, 308154.298102
Recoleta, 73002, 8073, 455599.989471, 292610.702341
Recoleta, 73003, 2346, 82533.4769821, 32440.0801364
Recoleta, 73007, 12, 88682.0, 26938.0
Recoleta, 73009, 112, 59844.2678571, 32352.5892857
Renca, 73001, 9612, 131189.431128, 78380.3872243
Renca, 73002, 20, 116616.6, 34228.8
Renca, 73003, 172, 110525.453488, 41095.7790698
San Bernardo, 73001, 11074, 119190.202005, 64448.7359581
San Bernardo, 73002, 851, 56829.9377203, 27712.8460635
San Bernardo, 73008, 40, 34192.5, 13054.0
San Bernardo, 73009, 578, 90075.1937716, 35959.8875433
San Joaquín, 73001, 582, 292524.611684, 288779.893471
San Joaquín, 73002, 45, 66177.3111111, 27945.7111111
San Joaquín, 73008, 1916, 264844.0762, 242220.772443
San Joaquín, 73009, 16, 86593.875, 40188.75
San Miguel, 73001, 2846, 270578.864371, 183449.367885
San Miguel, 73002, 3000, 83944.0586667, 40456.8226667
San Miguel, 73008, 287, 404380.926829, 428504.578397
San Miguel, 73009, 72, 95028.0, 24679.0
San Ramón, 73001, 346, 908993.32948, 579434.456647
San Ramón, 73002, 638, 243409.130094, 240970.095611
San Ramón, 73008, 87, 95228.5057471, 81807.7011494
Santiago, 73001, 12499, 160873.99648, 69439.2545004
Santiago, 73002, 9152, 142890.924825, 95613.6331949
Santiago, 73003, 5894, 166689.425348, 99750.3079403
Santiago, 73007, 2230, 158584.110314, 83773.4130045
Santiago, 73008, 1078, 125991.404453, 116567.025974
Santiago, 73009, 3052, 99260.3384666, 43478.1975754
Vitacura, 73001, 1892, 78368.1548626, 38630.8800211
Vitacura, 73002, 3411, 56786.313691, 18651.2852536
Vitacura, 73009, 393, 68057.1170483, 28240.1094148
